Sr. No. ,Country ,State ,District ,City/Village/Area,Pincode
77,India,Rajasthan ,Jaisalmer,Khuiyala B.O,345001
78,India,Rajasthan ,Jaisalmer,Koda,345027
79,India,Rajasthan ,Jaisalmer,Kotri,345034
80,India,Rajasthan ,Jaisalmer,Kunda,345027
81,India,Rajasthan ,Jaisalmer,Lakha,345027
82,India,Rajasthan ,Jaisalmer,Lanela B.O,345001
83,India,Rajasthan ,Jaisalmer,Lathi,345031
84,India,Rajasthan ,Jaisalmer,Lawan,345021
85,India,Rajasthan ,Jaisalmer,Loharki,345023
86,India,Rajasthan ,Jaisalmer,Lohawat,342302
87,India,Rajasthan ,Jaisalmer,Loona Kallan,345026
88,India,Rajasthan ,Jaisalmer,Loona Khurd,345026
89,India,Rajasthan ,Jaisalmer,Lunar,345034
90,India,Rajasthan ,Jaisalmer,Madasar,345028
91,India,Rajasthan ,Jaisalmer,Madwa,345024
92,India,Rajasthan ,Jaisalmer,Mandla,345021
93,India,Rajasthan ,Jaisalmer,Modardi,345021
94,India,Rajasthan ,Jaisalmer,Modha,345027
95,India,Rajasthan ,Jaisalmer,Mohangarh,345033
96,India,Rajasthan ,Jaisalmer,Mokhala B.O,345001
97,India,Rajasthan ,Jaisalmer,Mulana B.O,345001
98,India,Rajasthan ,Jaisalmer,Myazhar,345034
99,India,Rajasthan ,Jaisalmer,Nachana,345028
100,India,Rajasthan ,Jaisalmer,Narsinghaon Ki Dhani B.O,345001
101,India,Rajasthan ,Jaisalmer,Nathusar,345021
102,India,Rajasthan ,Jaisalmer,Nedai B.O,345001
103,India,Rajasthan ,Jaisalmer,Nedan,345026
104,India,Rajasthan ,Jaisalmer,Nokh,342310
105,India,Rajasthan ,Jaisalmer,Odhania,345031
106,India,Rajasthan ,Jaisalmer,Ola,345026
107,India,Rajasthan ,Jaisalmer,Padampura,345025
108,India,Rajasthan ,Jaisalmer,Padroda,345021
109,India,Rajasthan ,Jaisalmer,Pancheka Talab,345028
110,India,Rajasthan ,Jaisalmer,Pannasar,345024
111,India,Rajasthan ,Jaisalmer,Parewar B.O,345001
112,India,Rajasthan ,Jaisalmer,Phalsund,345025
113,India,Rajasthan ,Jaisalmer,Phulasar,345025
114,India,Rajasthan ,Jaisalmer,Phulia,345034
115,India,Rajasthan ,Jaisalmer,Pithala,345034
116,India,Rajasthan ,Jaisalmer,Pochina,345034
117,India,Rajasthan ,Jaisalmer,Pokaran,345021
118,India,Rajasthan ,Jaisalmer,Raghwa,345022
119,India,Rajasthan ,Jaisalmer,Rajgarh,345026
120,India,Rajasthan ,Jaisalmer,Rajmathai,345025
121,India,Rajasthan ,Jaisalmer,Rama,345027
122,India,Rajasthan ,Jaisalmer,Ramdeora,345023
123,India,Rajasthan ,Jaisalmer,Ramgarh,345022
124,India,Rajasthan ,Jaisalmer,Randha,345027
125,India,Rajasthan ,Jaisalmer,Rasla B.O,345001
126,India,Rajasthan ,Jaisalmer,Ratariya,345021
127,India,Rajasthan ,Jaisalmer,Rewari,345027
128,India,Rajasthan ,Jaisalmer,Roopsi B.O,345001
129,India,Rajasthan ,Jaisalmer,Sam B.O,345001
130,India,Rajasthan ,Jaisalmer,Sanawara,345026
131,India,Rajasthan ,Jaisalmer,Sangad,345027
132,India,Rajasthan ,Jaisalmer,Sankra,345026
133,India,Rajasthan ,Jaisalmer,Sanwara Gaon,342310
134,India,Rajasthan ,Jaisalmer,Satto,345034
135,India,Rajasthan ,Jaisalmer,Satyaya,345028
136,India,Rajasthan ,Jaisalmer,Seerhar,345027
137,India,Rajasthan ,Jaisalmer,Seuwa,345022
138,India,Rajasthan ,Jaisalmer,Sodakore,345031
139,India,Rajasthan ,Jaisalmer,Sohanpura,345025
140,India,Rajasthan ,Jaisalmer,Sonu B.O,345001
141,India,Rajasthan ,Jaisalmer,Sultana B.O,345001
142,India,Rajasthan ,Jaisalmer,Swami Ki Dhani,345025
143,India,Rajasthan ,Jaisalmer,Tadana,345028
144,India,Rajasthan ,Jaisalmer,Tanot,345022
145,India,Rajasthan ,Jaisalmer,Tawriwala,345028
146,India,Rajasthan ,Jaisalmer,Tejmalta,345027
147,India,Rajasthan ,Jaisalmer,Tejrawa,345027
148,India,Rajasthan ,Jaisalmer,Ujlan,345021
149,India,Rajasthan ,Jaisalmer,Utwaliya,345021
150,India,Rajasthan ,Jalore,Achalpur,343041
151,India,Rajasthan ,Jalore,Agawari,307030
152,India,Rajasthan ,Jalore,Ahore,307029
153,India,Rajasthan ,Jalore,Aipura,307029
154,India,Rajasthan ,Jalore,Ajodar,343040
155,India,Rajasthan ,Jalore,Akhrad,343039
156,India,Rajasthan ,Jalore,Akoli,343025
157,India,Rajasthan ,Jalore,Akoli,343041
158,India,Rajasthan ,Jalore,Alasan B.O,343001
159,India,Rajasthan ,Jalore,Alri,343049
160,India,Rajasthan ,Jalore,Amli,343027
161,India,Rajasthan ,Jalore,Anwloj,343042
162,India,Rajasthan ,Jalore,Arnay,343041
163,India,Rajasthan ,Jalore,Asana,343022
164,India,Rajasthan ,Jalore,Babtra,343022
165,India,Rajasthan ,Jalore,Badanwari,307029
166,India,Rajasthan ,Jalore,Bagoda,343032
167,India,Rajasthan ,Jalore,Bagra,343025
168,India,Rajasthan ,Jalore,Bakra,343025
169,India,Rajasthan ,Jalore,Bakra Road,343025
170,India,Rajasthan ,Jalore,Bala,307029
171,India,Rajasthan ,Jalore,Balera,343041
172,India,Rajasthan ,Jalore,Balwara,343042
173,India,Rajasthan ,Jalore,Bankli,307029
174,India,Rajasthan ,Jalore,Baori,307029
175,India,Rajasthan ,Jalore,Basda Dhanji,343028
176,India,Rajasthan ,Jalore,Bawarla,343041
177,India,Rajasthan ,Jalore,Bedana,307030
178,India,Rajasthan ,Jalore,Berath,343025
179,India,Rajasthan ,Jalore,Bhadrajun,307029
180,India,Rajasthan ,Jalore,Bhadruna,343041
181,India,Rajasthan ,Jalore,Bhadvi,343029
182,India,Rajasthan ,Jalore,Bhadwal,343041
183,India,Rajasthan ,Jalore,Bhagal Bhim,343029
184,India,Rajasthan ,Jalore,Bhagal Sefta,343029
185,India,Rajasthan ,Jalore,Bhagli Sindhlan B.O,343001
186,India,Rajasthan ,Jalore,Bhalni,343029
187,India,Rajasthan ,Jalore,Bharudi,343029
188,India,Rajasthan ,Jalore,Bhawatra,343041
189,India,Rajasthan ,Jalore,Bhawrani,343042
190,India,Rajasthan ,Jalore,Bhenswara,307029
191,India,Rajasthan ,Jalore,Bhetala,343024
192,India,Rajasthan ,Jalore,Bhimguda,343027
193,India,Rajasthan ,Jalore,Bhinmal,343029
194,India,Rajasthan ,Jalore,Bhinmal Sadar Bazar,343029
195,India,Rajasthan ,Jalore,Bhorda,307029
196,India,Rajasthan ,Jalore,Bhuti,307030
197,India,Rajasthan ,Jalore,Bibalsar,343025
198,India,Rajasthan ,Jalore,Bichhawadi,343041
199,India,Rajasthan ,Jalore,Bilar,343049
200,India,Rajasthan ,Jalore,Binjrol,343040
201,India,Rajasthan ,Jalore,Birol,343041
202,India,Rajasthan ,Jalore,Bishangarh,343042
203,India,Rajasthan ,Jalore,Bithura,307030
204,India,Rajasthan ,Jalore,Boogaon,307803
205,India,Rajasthan ,Jalore,Borta,343029
206,India,Rajasthan ,Jalore,Chandana,343024
207,India,Rajasthan ,Jalore,Chandrai,307030
208,India,Rajasthan ,Jalore,Chandur,307803
209,India,Rajasthan ,Jalore,Charli,307029
210,India,Rajasthan ,Jalore,Chatwara,343029
211,India,Rajasthan ,Jalore,Chawarcha B.O,343001
212,India,Rajasthan ,Jalore,Chenpura,343032
213,India,Rajasthan ,Jalore,Chirpatia,343049
214,India,Rajasthan ,Jalore,Chitalwana,343041
215,India,Rajasthan ,Jalore,Chitrodi,343049
216,India,Rajasthan ,Jalore,Chora,343041
217,India,Rajasthan ,Jalore,Chorau,343022
218,India,Rajasthan ,Jalore,Chunda,307029
219,India,Rajasthan ,Jalore,Chura,343025
220,India,Rajasthan ,Jalore,Dabal,343041
221,India,Rajasthan ,Jalore,Dadal,343032
222,India,Rajasthan ,Jalore,Dakatra,343025
223,India,Rajasthan ,Jalore,Dangra,343021
224,India,Rajasthan ,Jalore,Dantlawas,307515
225,India,Rajasthan ,Jalore,Dantwara,343040
226,India,Rajasthan ,Jalore,Daspan,343029
227,India,Rajasthan ,Jalore,Dawal,343027
228,India,Rajasthan ,Jalore,Dayalpura,307030
229,India,Rajasthan ,Jalore,Debawas,343042
230,India,Rajasthan ,Jalore,Degaon,343025
231,India,Rajasthan ,Jalore,Deoki,307029
232,India,Rajasthan ,Jalore,Deora,343040
233,India,Rajasthan ,Jalore,Detakalan,343032
234,India,Rajasthan ,Jalore,Dhamana,343041
235,India,Rajasthan ,Jalore,Dhamseen,343048
236,India,Rajasthan ,Jalore,Dhanol,343040
237,India,Rajasthan ,Jalore,Dhansa,343023
238,India,Rajasthan ,Jalore,Dhumbadia,343030
239,India,Rajasthan ,Jalore,Dodiyali,307030
240,India,Rajasthan ,Jalore,Doodsi,343025
241,India,Rajasthan ,Jalore,Dorda,307515
242,India,Rajasthan ,Jalore,Dungarwas,343030
243,India,Rajasthan ,Jalore,Dungri,343041
244,India,Rajasthan ,Jalore,Dungri,343040
245,India,Rajasthan ,Jalore,Duthwa,343041
246,India,Rajasthan ,Jalore,Elana,343021
247,India,Rajasthan ,Jalore,Fagotra,343029
248,India,Rajasthan ,Jalore,Gajapura,307515
249,India,Rajasthan ,Jalore,Gazipura,343029
250,India,Rajasthan ,Jalore,Ghana,307029
251,India,Rajasthan ,Jalore,Godan,307029
252,India,Rajasthan ,Jalore,Golana,307515
253,India,Rajasthan ,Jalore,Golasan,343041
254,India,Rajasthan ,Jalore,Gong,343040
255,India,Rajasthan ,Jalore,Govindla,307029
256,India,Rajasthan ,Jalore,Gudabalotan,307030
257,India,Rajasthan ,Jalore,Gundau,343040
258,India,Rajasthan ,Jalore,Hadecha,343027
259,India,Rajasthan ,Jalore,Hadetar,343041
260,India,Rajasthan ,Jalore,Hariyali,343041
261,India,Rajasthan ,Jalore,Harji B.O,343001
262,India,Rajasthan ,Jalore,Hemguda,343040
263,India,Rajasthan ,Jalore,Hotigaon,343041
264,India,Rajasthan ,Jalore,I.A.Jalore,343002
265,India,Rajasthan ,Jalore,Itada,343040
266,India,Rajasthan ,Jalore,Jaisawas,343032
267,India,Rajasthan ,Jalore,Jaitu,343030
268,India,Rajasthan ,Jalore,Jakhal,343041
269,India,Rajasthan ,Jalore,Jalore Coll.,343001
270,India,Rajasthan ,Jalore,Jalore,343001
271,India,Rajasthan ,Jalore,Jalore V.D.C.,343001
272,India,Rajasthan ,Jalore,Janvi,343027
273,India,Rajasthan ,Jalore,Jaswantpura,307515
274,India,Rajasthan ,Jalore,Jeewana,343022
275,India,Rajasthan ,Jalore,Jeran,343030
276,India,Rajasthan ,Jalore,Jhab,343040
277,India,Rajasthan ,Jalore,Jhakhari,343040
278,India,Rajasthan ,Jalore,Jodwara,343029
279,India,Rajasthan ,Jalore,Joojani,343030
280,India,Rajasthan ,Jalore,Kagmala,343049
281,India,Rajasthan ,Jalore,Kalapura,307515
282,India,Rajasthan ,Jalore,Kaleti,343030
283,India,Rajasthan ,Jalore,Kamba,307029
284,India,Rajasthan ,Jalore,Kardan,343040
285,India,Rajasthan ,Jalore,Karola,343041
286,India,Rajasthan ,Jalore,Karwada,343040
287,India,Rajasthan ,Jalore,Kawarada,307030
288,India,Rajasthan ,Jalore,Kawatra,343030
289,India,Rajasthan ,Jalore,Kawlan,307030
290,India,Rajasthan ,Jalore,Keriya,343041
291,India,Rajasthan ,Jalore,Keshwana B.O,343001
292,India,Rajasthan ,Jalore,Khanpur,343029
293,India,Rajasthan ,Jalore,Khara,343041
294,India,Rajasthan ,Jalore,Khejariyali,343027
295,India,Rajasthan ,Jalore,Kishangarh,307029
296,India,Rajasthan ,Jalore,Komta,343030
297,India,Rajasthan ,Jalore,Kora,343029
298,India,Rajasthan ,Jalore,Kori,343049
299,India,Rajasthan ,Jalore,Koridhawecha,343032
300,India,Rajasthan ,Jalore,Korka,343040
301,India,Rajasthan ,Jalore,Kotkastan,343029
302,India,Rajasthan ,Jalore,Kuda,343040
303,India,Rajasthan ,Jalore,Kuka,343029
304,India,Rajasthan ,Jalore,Ledarmer,343029
305,India,Rajasthan ,Jalore,Leta B.O,343001
306,India,Rajasthan ,Jalore,Loonawas,343030
307,India,Rajasthan ,Jalore,Luniyasar,343041
308,India,Rajasthan ,Jalore,Madgaon,343025
309,India,Rajasthan ,Jalore,Malwara,343039
310,India,Rajasthan ,Jalore,Mandhar,343029
311,India,Rajasthan ,Jalore,Mandoli Nagar,307803
312,India,Rajasthan ,Jalore,Mandwala,343042
313,India,Rajasthan ,Jalore,Meda,343040
314,India,Rajasthan ,Jalore,Meda Uparla B.O,343001
315,India,Rajasthan ,Jalore,Meghalwa,343022
316,India,Rajasthan ,Jalore,Modran,343028
317,India,Rajasthan ,Jalore,Morseem,343032
318,India,Rajasthan ,Jalore,Mudtrasili,307803
319,India,Rajasthan ,Jalore,Munthala Kaba,343029
320,India,Rajasthan ,Jalore,Nandia,343032
321,India,Rajasthan ,Jalore,Narnawas,343025
322,India,Rajasthan ,Jalore,Narsana,343030
323,India,Rajasthan ,Jalore,Narta,343029
324,India,Rajasthan ,Jalore,Nasoli,343029
325,India,Rajasthan ,Jalore,Neelkanth,307029
326,India,Rajasthan ,Jalore,Nenol,343041
327,India,Rajasthan ,Jalore,Nimbawas,343029
328,India,Rajasthan ,Jalore,Nimbla,307029
329,India,Rajasthan ,Jalore,Nimblana,343021
330,India,Rajasthan ,Jalore,Noon,343025
331,India,Rajasthan ,Jalore,Norwa,307029
332,India,Rajasthan ,Jalore,Nosra,307029
333,India,Rajasthan ,Jalore,Odwara,343042
334,India,Rajasthan ,Jalore,Othwala,343021
335,India,Rajasthan ,Jalore,Padarli,307030
336,India,Rajasthan ,Jalore,Palasia,307030
337,India,Rajasthan ,Jalore,Pamana,343040
338,India,Rajasthan ,Jalore,Panchala,343041
339,India,Rajasthan ,Jalore,Panchota,307030
340,India,Rajasthan ,Jalore,Panseri,343049
341,India,Rajasthan ,Jalore,Pantheri,343023
342,India,Rajasthan ,Jalore,Paoli,343029
343,India,Rajasthan ,Jalore,Paota,307030
344,India,Rajasthan ,Jalore,Parawa,343041
345,India,Rajasthan ,Jalore,Posana,343022
346,India,Rajasthan ,Jalore,Punakkalan,307803
347,India,Rajasthan ,Jalore,Punasa,343029
348,India,Rajasthan ,Jalore,Pur,343041
349,India,Rajasthan ,Jalore,Puran,343039
350,India,Rajasthan ,Jalore,Rah,343030
351,India,Rajasthan ,Jalore,Raipuria,343024
352,India,Rajasthan ,Jalore,Raithal,343042
353,India,Rajasthan ,Jalore,Rajikawas,307515
354,India,Rajasthan ,Jalore,Rama,307029
355,India,Rajasthan ,Jalore,Ramseen,307803
356,India,Rajasthan ,Jalore,Rangala,343032
357,India,Rajasthan ,Jalore,Raniwara Khurd,343040
358,India,Rajasthan ,Jalore,Raniwara,343040
359,India,Rajasthan ,Jalore,Ranodar,343041
360,India,Rajasthan ,Jalore,Raota,343032
361,India,Rajasthan ,Jalore,Ratanpur,343040
362,India,Rajasthan ,Jalore,Rewatra B.O,343001
363,India,Rajasthan ,Jalore,Rodla,307030
364,India,Rajasthan ,Jalore,Ropsi,343049
365,India,Rajasthan ,Jalore,Safada B.O,343001
366,India,Rajasthan ,Jalore,Samtipura B.O,343001
367,India,Rajasthan ,Jalore,Samuja,307029
368,India,Rajasthan ,Jalore,Sanchore,343041
369,India,Rajasthan ,Jalore,Sandhara,307803
370,India,Rajasthan ,Jalore,Sangana,343022
371,India,Rajasthan ,Jalore,Sankad,343040
372,India,Rajasthan ,Jalore,Sankarna B.O,343001
373,India,Rajasthan ,Jalore,Sankhwali,307029
374,India,Rajasthan ,Jalore,Santhu,343025
375,India,Rajasthan ,Jalore,Sanwara,307029
376,India,Rajasthan ,Jalore,Sarana,343042
377,India,Rajasthan ,Jalore,Sarat,343025
378,India,Rajasthan ,Jalore,Sarnau,343040
379,India,Rajasthan ,Jalore,Sarwana,343041
380,India,Rajasthan ,Jalore,Savidhar,343049
381,India,Rajasthan ,Jalore,Sawna,343024
382,India,Rajasthan ,Jalore,Sayla,343022
383,India,Rajasthan ,Jalore,Serna,343028
384,India,Rajasthan ,Jalore,Sewara,343041
385,India,Rajasthan ,Jalore,Sewara,343040
386,India,Rajasthan ,Jalore,Sewari,343030
387,India,Rajasthan ,Jalore,Siana,343024
388,India,Rajasthan ,Jalore,Sikwara,307803
389,India,Rajasthan ,Jalore,Silasan,343049
390,India,Rajasthan ,Jalore,Sirana,343022
391,India,Rajasthan ,Jalore,Somta,307803
392,India,Rajasthan ,Jalore,Soonthri,343027
393,India,Rajasthan ,Jalore,Sugalia Jodha,307029
394,India,Rajasthan ,Jalore,Surachand,343027
395,India,Rajasthan ,Jalore,Surajwara,343039
396,India,Rajasthan ,Jalore,Surana,343032
397,India,Rajasthan ,Jalore,Surawa,343041
398,India,Rajasthan ,Jalore,Taliyana,343022
399,India,Rajasthan ,Jalore,Tawab,343029
400,India,Rajasthan ,Jalore,Thalwad,343023
401,India,Rajasthan ,Jalore,Thawla B.O,343001
402,India,Rajasthan ,Jalore,Thobau,343029
403,India,Rajasthan ,Jalore,Thoor,307803
404,India,Rajasthan ,Jalore,Tikhi,343042
405,India,Rajasthan ,Jalore,Tiloda,343032
406,India,Rajasthan ,Jalore,Umedpur,307030
407,India,Rajasthan ,Jalore,Ummedabad,343021
408,India,Rajasthan ,Jalore,Unn B.O,343001
409,India,Rajasthan ,Jalore,Unri,343023
410,India,Rajasthan ,Jalore,Vadgaon,343048
411,India,Rajasthan ,Jalore,Valdara,307030
412,India,Rajasthan ,Jalore,Vali,343030
413,India,Rajasthan ,Jalore,Vandhar,343029
414,India,Rajasthan ,Jalore,Vedia,307029
415,India,Rajasthan ,Jalore,Veerana B.O,343001
416,India,Rajasthan ,Jalore,Veerawa,343041
417,India,Rajasthan ,Jhalawar,Agaria,326022
418,India,Rajasthan ,Jhalawar,Akawad Khurd,326035
419,India,Rajasthan ,Jhalawar,Aklera,326033
420,India,Rajasthan ,Jhalawar,Akodiya,326038
421,India,Rajasthan ,Jhalawar,Ametha,326033
422,India,Rajasthan ,Jhalawar,Anwalheda,326037
423,India,Rajasthan ,Jhalawar,Anwali Kalan,326502
424,India,Rajasthan ,Jhalawar,Asalpura,326039
425,India,Rajasthan ,Jhalawar,Asnawar,326021
426,India,Rajasthan ,Jhalawar,Awar,326512
427,India,Rajasthan ,Jhalawar,Baday,326022
428,India,Rajasthan ,Jhalawar,Badbad,326023
429,India,Rajasthan ,Jhalawar,Badwad,326033
430,India,Rajasthan ,Jhalawar,Bagher B.O,326001
431,India,Rajasthan ,Jhalawar,Bahalta,326039
432,India,Rajasthan ,Jhalawar,Baira Garh,326033
433,India,Rajasthan ,Jhalawar,Bakani,326022
434,India,Rajasthan ,Jhalawar,Baneth,326037
435,India,Rajasthan ,Jhalawar,Bani,326512
436,India,Rajasthan ,Jhalawar,Banore,326036
437,India,Rajasthan ,Jhalawar,Banskheda,326037
438,India,Rajasthan ,Jhalawar,Banskhedi,326037
439,India,Rajasthan ,Jhalawar,Banskhedi Lodhan,326039
440,India,Rajasthan ,Jhalawar,Bardia Veer Ji,326515
441,India,Rajasthan ,Jhalawar,Bareda,326035
442,India,Rajasthan ,Jhalawar,Barodia,326021
443,India,Rajasthan ,Jhalawar,Berla,326515
444,India,Rajasthan ,Jhalawar,Bhagwanpura,326038
445,India,Rajasthan ,Jhalawar,Bhanwarsa,326023
446,India,Rajasthan ,Jhalawar,Bhawanimandi,326502
447,India,Rajasthan ,Jhalawar,Bhilwari,326501
448,India,Rajasthan ,Jhalawar,Bhimsagar Dam B.O,326001
449,India,Rajasthan ,Jhalawar,Binda Kheda,326039
450,India,Rajasthan ,Jhalawar,Bisthunia,326512
451,India,Rajasthan ,Jhalawar,Bolia Bujurg,326513
452,India,Rajasthan ,Jhalawar,Borband,326039
453,India,Rajasthan ,Jhalawar,Borda Mau B.O,326001
454,India,Rajasthan ,Jhalawar,Borkhedi Gujran,326039
455,India,Rajasthan ,Jhalawar,Chachhlao,326513
456,India,Rajasthan ,Jhalawar,Chandipur,326037
457,India,Rajasthan ,Jhalawar,Chandpura Bheelan,326037
458,India,Rajasthan ,Jhalawar,Chanpa Khurd,326035
459,India,Rajasthan ,Jhalawar,Chara,326515
460,India,Rajasthan ,Jhalawar,Chaumahla,326515
461,India,Rajasthan ,Jhalawar,Churalia,326033
462,India,Rajasthan ,Jhalawar,Collectorate Jhalawar,326001
463,India,Rajasthan ,Jhalawar,Dabla Bhoj,326034
464,India,Rajasthan ,Jhalawar,Dabla Kheenchi,326513
465,India,Rajasthan ,Jhalawar,Dag,326514
466,India,Rajasthan ,Jhalawar,Dahikheda,326038
467,India,Rajasthan ,Jhalawar,Dangipura,326037
468,India,Rajasthan ,Jhalawar,Danta,326034
469,India,Rajasthan ,Jhalawar,Deori,326023
470,India,Rajasthan ,Jhalawar,Deori Kalan,326033
471,India,Rajasthan ,Jhalawar,Dev Nagar,326022
472,India,Rajasthan ,Jhalawar,Devgarh,326512
473,India,Rajasthan ,Jhalawar,Devgarh,326514
474,India,Rajasthan ,Jhalawar,Dewal Kheda,326036
475,India,Rajasthan ,Jhalawar,Dhanoda,326035
476,India,Rajasthan ,Jhalawar,Dharonia,326034
477,India,Rajasthan ,Jhalawar,Dhaturia,326514
478,India,Rajasthan ,Jhalawar,Ditya Khedi,326036
479,India,Rajasthan ,Jhalawar,Dobra,326514
480,India,Rajasthan ,Jhalawar,Dobra,326038
481,India,Rajasthan ,Jhalawar,Dodi,326514
482,India,Rajasthan ,Jhalawar,Dola,326513
483,India,Rajasthan ,Jhalawar,Dubalia,326513
484,India,Rajasthan ,Jhalawar,Dudhalia,326514
485,India,Rajasthan ,Jhalawar,Dunda,326023
486,India,Rajasthan ,Jhalawar,Dungargaon,326021
487,India,Rajasthan ,Jhalawar,Duragpura B.O,326001
488,India,Rajasthan ,Jhalawar,Fateh Garh,326036
489,India,Rajasthan ,Jhalawar,Gadarwada Noorji,326038
490,India,Rajasthan ,Jhalawar,Gadia,326501
491,India,Rajasthan ,Jhalawar,Gadia,326513
492,India,Rajasthan ,Jhalawar,Gagron B.O,326001
493,India,Rajasthan ,Jhalawar,Ganeshpura,326502
494,India,Rajasthan ,Jhalawar,Gangdhar,326516
495,India,Rajasthan ,Jhalawar,Garbolia,326037
496,India,Rajasthan ,Jhalawar,Garwada,326022
497,India,Rajasthan ,Jhalawar,Gehu Khedi,326033
498,India,Rajasthan ,Jhalawar,Ghatod,326502
499,India,Rajasthan ,Jhalawar,Ghatoli,326039
500,India,Rajasthan ,Jhalawar,Golana,326038
501,India,Rajasthan ,Jhalawar,Gopalpura,326039
502,India,Rajasthan ,Jhalawar,Gordhanpura B.O,326001
503,India,Rajasthan ,Jhalawar,Govindpura,326023
504,India,Rajasthan ,Jhalawar,Govindpura,326034
